IGenbank ID,Gene,Gene_category,Subcategory1,Subcategory2,Organism,Lineage,#TH-->JM,#NTH-->JM,#TI-->JM,#NTI-->JM
33637944,iron_permease_high_affinity,Metal Homeostasis,iron,Transport,Rhizopus oryzae,superkingdom:Eukaryota;kingdom:Fungi;order:Mucorales;family:Mucoraceae;genus:Rhizopus;,1778,1004,1385,654
189208738,iron_permease_high_affinity,Metal Homeostasis,iron,Transport,Pyrenophora tritici-repentis Pt-1C-BFP,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Dothideomycetes;order:Pleosporales;family:Pleosporaceae;genus:Pyrenophora;species:Pyrenophora tritici-repentis;,,1313,,
119498795,iron_permease_high_affinity,Metal Homeostasis,iron,Transport,Neosartorya fischeri NRRL 181,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Neosartorya;species:Neosartorya fischeri;,3276,2484,5765,7604
212540826,iron_permease_high_affinity,Metal Homeostasis,iron,Transport,Penicillium marneffei ATCC 18224,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Penicillium;species:Penicillium marneffei;,10945,1439,668,3456
225554688,iron_permease_high_affinity,Metal Homeostasis,iron,Transport,Ajellomyces capsulatus G186AR,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Onygenales;family:Ajellomycetaceae;genus:Ajellomyces;species:Ajellomyces capsulatus;,,,,949
49648393,iron_permease_high_affinity,Metal Homeostasis,iron,Transport,Yarrowia lipolytica,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Dipodascaceae;genus:Yarrowia;,1351,550,1379,12056
238937151,iron_permease_high_affinity,Metal Homeostasis,iron,Transport,Lachancea thermotolerans,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;family:Saccharomycetaceae;genus:Lachancea;,377,527,375,388
255722485,iron_permease_high_affinity,Metal Homeostasis,iron,Transport,Candida tropicalis MYA-3404,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Saccharomycetes;order:Saccharomycetales;genus:Candida;species:Candida tropicalis;,,3174,721,2544
213409984,iron_permease_high_affinity,Metal Homeostasis,iron,Transport,Schizosaccharomyces japonicus yFS275,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Schizosaccharomycetes;order:Schizosaccharomycetales;family:Schizosaccharomycetaceae;genus:Schizosaccharomyces;species:Schizosaccharomyces japonicus;,,1283,,
206986951,iron_permease_high_affinity,Metal Homeostasis,iron,Transport,Claviceps purpurea,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Hypocreales;family:Clavicipitaceae;genus:Claviceps;,,,,305
46110523,iron_permease_high_affinity,Metal Homeostasis,iron,Transport,Gibberella zeae PH-1,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Hypocreales;family:Nectriaceae;genus:Gibberella;species:Gibberella zeae;,,286,,404
39968131,iron_permease_high_affinity,Metal Homeostasis,iron,Transport,Magnaporthe grisea 70-15,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Magnaporthales;family:Magnaporthaceae;genus:Magnaporthe;species:Magnaporthe oryzae;,159468,20988,6574,17456
171689956,iron_permease_high_affinity,Metal Homeostasis,iron,Transport,Podospora anserina,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Sordariomycetes;order:Sordariales;family:Lasiosphaeriaceae;genus:Podospora;species:Podospora anserina;,608,435,4634,580
242207992,iron_permease_high_affinity,Metal Homeostasis,iron,Transport,Postia placenta Mad-698-R,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Agaricomycetes;order:Polyporales;family:Coriolaceae;genus:Postia;species:Postia placenta;,4626,15024,5939,12847
206986943,iron_permease_high_affinity,Metal Homeostasis,iron,Transport,Cryptococcus bacillisporus,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Tremellomycetes;order:Tremellales;family:Tremellaceae;genus:Filobasidiella;,452,191,,700
71003145,iron_permease_high_affinity,Metal Homeostasis,iron,Transport,Ustilago maydis 521,superkingdom:Eukaryota;kingdom:Fungi;phylum:Basidiomycota;class:Ustilaginomycetes;order:Ustilaginales;family:Ustilaginaceae;genus:Ustilago;species:Ustilago maydis;,,,403,717
121708363,vacuolar_iron_transport,Metal Homeostasis,iron,Transport,Aspergillus clavatus NRRL 1,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Aspergillus;species:Aspergillus clavatus;,4800,4591,22545,5581
121705468,vacuolar_iron_transport,Metal Homeostasis,iron,Transport,Aspergillus clavatus NRRL 1,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Aspergillus;species:Aspergillus clavatus;,,,,9964
115389622,vacuolar_iron_transport,Metal Homeostasis,iron,Transport,Aspergillus terreus NIH2624,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Aspergillus;species:Aspergillus terreus;,3560,3911,2738,44199
115396118,vacuolar_iron_transport,Metal Homeostasis,iron,Transport,Aspergillus terreus NIH2624,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Aspergillus;species:Aspergillus terreus;,,249,,3713
67537640,vacuolar_iron_transport,Metal Homeostasis,iron,Transport,Aspergillus nidulans FGSC A4,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Emericella;species:Emericella nidulans;,22600,201,,342
67526447,vacuolar_iron_transport,Metal Homeostasis,iron,Transport,Aspergillus nidulans FGSC A4,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Emericella;species:Emericella nidulans;,4321,1243,928,990
255947474,vacuolar_iron_transport,Metal Homeostasis,iron,Transport,Penicillium chrysogenum Wisconsin 54-1255,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Penicillium;species:Penicillium chrysogenum;,17376,,,
255934140,vacuolar_iron_transport,Metal Homeostasis,iron,Transport,Penicillium chrysogenum Wisconsin 54-1255,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Penicillium;species:Penicillium chrysogenum;,651,494,,1284
