Genbank ID,Gene name,Gene category,Sub-category1,Sub-category2,Organism,Lineage,#D43G21,D43G18,D43G16,D43G14,D43G13,D43G12,#D40G6,D40G4,D40G2,D40G31,D40G30,D40G29
145518598,nhaP,Metal Homeostasis,Sodium,Transport,Paramecium tetraurelia strain d4-2,superkingdom:Eukaryota;class:Oligohymenophorea;order:Peniculida;family:Parameciidae;genus:Paramecium;species:Paramecium tetraurelia;,3045,,676,,313,1174,p,,,p,,
323452335,mer,Metal Homeostasis,Mercury,Detoxification,Aureococcus anophagefferens,superkingdom:Eukaryota;class:Pelagophyceae;genus:Aureococcus;,403,860,423,365,283,2169,484,765,5587,6883,3266,1331
323450297,nhaP,Metal Homeostasis,Sodium,Transport,Aureococcus anophagefferens,superkingdom:Eukaryota;class:Pelagophyceae;genus:Aureococcus;,3817,*,8420,318,666,3498,2962,2433,409,2335,1078,
323450805,nhaP,Metal Homeostasis,Sodium,Transport,Aureococcus anophagefferens,superkingdom:Eukaryota;class:Pelagophyceae;genus:Aureococcus;,,,545,983,210,925,p,,,p,,
339477486,silP,Metal Homeostasis,Silver,Transport,Mycosphaerella graminicola IPO323,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Dothideomycetes;order:Capnodiales;family:Mycosphaerellaceae;genus:Zymoseptoria;species:Zymoseptoria tritici;,525,,949,589,*,3988,421,,,558,8637,930
169598664,sidA,Metal Homeostasis,iron,transport,Phaeosphaeria nodorum SN15,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Dothideomycetes;order:Pleosporales;family:Phaeosphaeriaceae;genus:Parastagonospora;species:Parastagonospora nodorum;,,458,,493,304,781,p,p,,p,,
160703192,silP,Metal Homeostasis,Silver,Transport,Phaeosphaeria nodorum SN15,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Dothideomycetes;order:Pleosporales;family:Phaeosphaeriaceae;genus:Parastagonospora;species:Parastagonospora nodorum;,782,286,646,450,18303,541,,,284,524,2389,4091
169606906,arsA_fungi,Metal Homeostasis,Arsenic,Transport,Phaeosphaeria nodorum SN15,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Dothideomycetes;order:Pleosporales;family:Phaeosphaeriaceae;genus:Phaeosphaeria;species:Phaeosphaeria nodorum;,115691,499,,810,320,3225,366,,616,778,3799,1506
160701294,ChrA,Metal Homeostasis,Chromium,Transport,Phaeosphaeria nodorum SN15,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Dothideomycetes;order:Pleosporales;family:Phaeosphaeriaceae;genus:Phaeosphaeria;species:Phaeosphaeria nodorum;,501,,685,525,*,980,325,796,2240,675,1077,1265
111061802,czcD,Metal Homeostasis,"Cadmium,Cobalt,Zinc",Transport,Phaeosphaeria nodorum SN15,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Dothideomycetes;order:Pleosporales;family:Phaeosphaeriaceae;genus:Phaeosphaeria;species:Phaeosphaeria nodorum;,742,217,793,5313,332,2389,467,750,448,678,20880,5918
311318039,silP,Metal Homeostasis,Silver,Transport,Pyrenophora teres f. teres 0-1,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Dothideomycetes;order:Pleosporales;family:Pleosporaceae;genus:Pyrenophora;species:Pyrenophora teres;,395,,530,473,248,615,442,946,,994,1510,867
311322438,trk_fungi,Metal Homeostasis,Potassium,Transport,Pyrenophora teres f. teres 0-1,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Dothideomycetes;order:Pleosporales;family:Pleosporaceae;genus:Pyrenophora;species:Pyrenophora teres;,870,*,472,333,*,695,,,380,649,1053,2362
187984734,ChrA,Metal Homeostasis,Chromium,Transport,Pyrenophora tritici-repentis Pt-1C-BFP,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Dothideomycetes;order:Pleosporales;family:Pleosporaceae;genus:Pyrenophora;species:Pyrenophora tritici-repentis;,67080,39070,2445,2826,6850,11813,1314,2481,8152,5302,11989,24031
189191118,copA,Metal Homeostasis,Copper,Transport,Pyrenophora tritici-repentis Pt-1C-BFP,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Dothideomycetes;order:Pleosporales;family:Pleosporaceae;genus:Pyrenophora;species:Pyrenophora tritici-repentis;,p,*p,,,,,7290,3541,761,2195,,
189192753,nhaP,Metal Homeostasis,Sodium,Transport,Pyrenophora tritici-repentis Pt-1C-BFP,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Dothideomycetes;order:Pleosporales;family:Pleosporaceae;genus:Pyrenophora;species:Pyrenophora tritici-repentis;,824,369,1383,752,477,1202,452,1124,1010,431,1384,835
189207941,siderophore_transporter,Metal Homeostasis,iron,transport,Pyrenophora tritici-repentis Pt-1C-BFP,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Dothideomycetes;order:Pleosporales;family:Pleosporaceae;genus:Pyrenophora;species:Pyrenophora tritici-repentis;,1085,201,1586,1136,6060,709,p,p,,p,,
187977113,trk_fungi,Metal Homeostasis,Potassium,Transport,Pyrenophora tritici-repentis Pt-1C-BFP,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Dothideomycetes;order:Pleosporales;family:Pleosporaceae;genus:Pyrenophora;species:Pyrenophora tritici-repentis;,1167,369,781,2080,372,2098,408,766,565,3838,4315,3101
134080742,mer,Metal Homeostasis,Mercury,Detoxification,Aspergillus niger,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Aspergillus;,p,,p,,*p,p,4693,,,2552,3707,1104
76057126,zrt1,Metal Homeostasis,Zinc,Transport,Aspergillus niger,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Aspergillus;,p,,p,,*p,p,452,712,,603,,2602
121712202,ferroxidase_high_affinity,Metal Homeostasis,iron,Transport,Aspergillus clavatus NRRL 1,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Aspergillus;species:Aspergillus clavatus;,1319,274,1477,1326,955,,822,,555,570,4593,
119404154,nhaP,Metal Homeostasis,Sodium,Transport,Aspergillus clavatus NRRL 1,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Aspergillus;species:Aspergillus clavatus;,779,,836,367,282,,*p,,p,,,p
121698399,NiCoT,Metal Homeostasis,Nickel,Transport,Aspergillus clavatus NRRL 1,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Aspergillus;species:Aspergillus clavatus;,2307,606,,764,367,,p,p,,,,
121711655,siderophore_transporter,Metal Homeostasis,iron,transport,Aspergillus clavatus NRRL 1,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Aspergillus;species:Aspergillus clavatus;,4476,,527,368,367,614,,1056,2035,707,,665
121720184,siderophore_transporter,Metal Homeostasis,iron,transport,Aspergillus clavatus NRRL 1,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Aspergillus;species:Aspergillus clavatus;,,*p,p,p,,p,238,,,1902,3622,1019
119404509,trk_fungi,Metal Homeostasis,Potassium,Transport,Aspergillus clavatus NRRL 1,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Aspergillus;species:Aspergillus clavatus;,1739,,1545,695,647,1536,1064,1764,,2652,2327,1506
121700757,trk_fungi,Metal Homeostasis,Potassium,Transport,Aspergillus clavatus NRRL 1,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Aspergillus;species:Aspergillus clavatus;,1037,291,1210,1350,373,3010,348,1223,,1197,2166,2901
121714993,trk_fungi,Metal Homeostasis,Potassium,Transport,Aspergillus clavatus NRRL 1,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Aspergillus;species:Aspergillus clavatus;,5969,2443,5004,4220,3001,14011,1967,6855,768,7103,2127,3377
121708363,vacuolar_iron_transport,Metal Homeostasis,iron,Transport,Aspergillus clavatus NRRL 1,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Aspergillus;species:Aspergillus clavatus;,1229,3816,476,,1362,4937,p,,,p,,
238498702,siderophore_transporter,Metal Homeostasis,iron,transport,Aspergillus flavus NRRL3357,superkingdom:Eukaryota;kingdom:Fungi;phylum:Ascomycota;class:Eurotiomycetes;order:Eurotiales;family:Trichocomaceae;genus:Aspergillus;species:Aspergillus flavus;,,,p,p,*p,p,220,,406,711,1336,1161
